X,Y,nome,tipo,xcoord,ycoord,video,icon_url
9.65978810471399,40.031847277228,Coffu,Tomba di Giganti,555986.757314153946936,4431940.290864009410143,,./2.png
9.66202519541053,40.0732498278954,S'Orcu,Tomba di Giganti,556288.904668822651729,4435641.996668219566345,,./2.png
9.68183896993845,40.0740684212886,Cabriolu,Tomba di Giganti,558073.076655333046801,4436115.721607359126210,,./2.png
9.64880310392145,40.0878862117846,Muvara,Tomba di Giganti,555638.571593707078137,4437478.651616621762514,,./2.png
9.67625499473713,40.0978649806942,S'Oru,Tomba di Giganti,556924.944709320319816,4438714.999111072160304,,./2.png
9.57238198853907,40.123865106807,Umbragu,Tomba di Giganti,548077.556280825403519,4440651.705301800742745,,./2.png
9.57256585917569,40.1311919084784,Mereu,Tomba di Giganti,548806.501046339399181,4442245.378661698661745,,./2.png
9.58720381990246,40.1386063675337,Carcatrippa,Tomba di Giganti,548513.493836672045290,4443453.140086913481355,,./2.png
9.68686617445945,40.0912756582054,Alustia,Tomba di Giganti,557482.844480871222913,4437448.205530542880297,,./2.png
9.58826240565004,40.1027845654777,Appiu,Villaggio nuragico,550102.511813318938948,4440523.581626513972878,,./3.png
9.57750179017632,40.0958192074179,ziu Antiogu,Tomba di Giganti,550308.276397328008898,4438813.132502257823944,,./2.png
9.66977964649252,40.090804110687,San Pietro in Golgo,Chiesa campestre,556925.598247899673879,4438043.975738835521042,,./4.png
9.58740718505546,40.1049350042062,Appiu,Fonte Nuragica,550149.131597844883800,4439739.709910608828068,https://youtu.be/c-QcLzGS7oI,./5.png
9.59040146779263,40.1051864437869,Appiu,Tomba di Giganti,550059.708532862481661,4439806.165934902615845,https://youtu.be/OfsHpkqgo54,./2.png
9.67441759016011,40.0988713234498,S'Oru,Villaggio nuragico,556760.905800674809143,4438416.291221142746508,,./3.png
9.57078272434213,40.1261991006761,Umbragu,Villaggio nuragico,548765.877825898583978,4440696.803896696306765,,./3.png
9.67907687144995,40.0758648588424,Cabriolu,Villaggio nuragico,558302.862080097780563,4436238.990741625428200,,./3.png
9.65366128694008,40.0893886477585,Muvara,Villaggio nuragico,556304.769595201592892,4437585.795521084219217,,./3.png
9.65940505815284,40.0419056443157,Grotta Mommotti,Grotta in territorio di Baunei,556954.823946765623987,4431423.431816311553121,,./6.png
9.63131560383227,40.1359518437976,Grotta delle Janas,Grotta in territorio di Baunei,553979.000657520024106,4444040.572982473298907,,./6.png
9.71488307546013,40.0524105252224,Grotta dei Is Carrogas,Grotta in territorio di Baunei,561952.035442383610643,4435020.609649988822639,,./6.png
9.60952937700626,40.1597762394279,Cabriolu,Grotta in territorio di Baunei,552708.359933921718039,4446513.654418748803437,,./6.png
9.61145258608927,40.0879036834341,Ladamini,Grotta in territorio di Baunei,552340.552721626707353,4437517.042281923815608,,./6.png
9.65267287880238,40.1421113025372,Grotta del Pistillone,Grotta in territorio di Baunei,556194.877654163283296,4443506.858135905116796,,./6.png
9.62774503254884,40.2239757777502,Su Marinaiu,Grotta in territorio di Baunei,553408.825394320068881,4452805.766571634449065,,./6.png
9.66077168752206,40.1385442902017,Grotta della Murena,Grotta in territorio di Baunei,556370.384828464826569,4443051.075462167151272,,./6.png
9.58148175274364,40.1325790617621,Funtana Abba Frida,Grotta in territorio di Baunei,548831.434127750690095,4442933.515548096038401,,./6.png
9.58082073709224,40.1518928618423,Genna Poddini,Grotta in territorio di Baunei,548719.984976602834649,4444492.193966583348811,,./6.png
9.61700902165345,40.1767388620722,Grotte del Relitto,Grotta in territorio di Baunei,552448.401360924239270,4447430.535637191496789,,./6.png
9.67407641680259,40.084320016516,Golgo,Voragine carsica,557431.760118947480805,4437153.176657014526427,,./7.png
9.57583977799949,40.1869240118297,Grotta Muntoni,Grotta,549008.631654211319983,4448886.743675274774432,,./8.png
9.62362760521176,40.2400907688211,Grotta del Marinaio,Grotta,553051.895335755078122,4455295.262368381023407,,./8.png
9.64654662707528,40.3112864543647,Sos Dorroles,Grotta,556397.976379593135789,4462857.092960558831692,,./8.png
9.50733610969179,40.2434442986508,is Prettas,Grotta,542299.107047178666107,4455641.372124676592648,,./8.png
9.50845659739514,40.2584302095988,Brebei,Grotta,541254.873276775935665,4456157.410571633838117,,./8.png
9.53707175725317,40.2582830620804,Grotta del Rame,Grotta,543102.477674099500291,4459764.156013936735690,,./8.png
9.62591431755391,40.2317663015755,Grotta di Brodulassu,Grotta,552963.869231461547315,4454339.275582217611372,,./8.png
9.58503138812593,40.226127103036,Grotte Sos Crabus,Grotta,550308.929568023653701,4452039.309033272787929,,./8.png
9.62428862289295,40.2340436612744,Grotte di Cala Luna,Grotta,553221.316825249581598,4453449.158141044899821,,./8.png
9.50876605907021,40.2900864903902,Grotta della Dolina,Grotta,542699.147185862413608,4459788.103438494727015,,./8.png
9.60895325263196,40.2699524537957,Su Pilloni,Grotta,549542.373181675327942,4457207.692743817344308,,./8.png
9.61431849965385,40.2556412160518,Grotta De Su Zurrundeddu,Grotta,552685.555741943069734,4456454.350117518566549,,./8.png
